speaker,label,logit,rms,s_along,s_orth,ve12,ve9,rog12,vmean12,vmean0
Robert Kardashian,0,6.330977916717529,0.03315346,5.110184,30.942657,2.7269206436926865,2.6983299934176816,10.675127983093262,5.714459419250488,4.6054863929748535
Alec Guinness,1,7.100567817687988,0.016871767,4.9431705,31.414703,2.9271057803236786,2.7020440552457443,11.211321830749512,5.969089031219482,5.049027919769287
Barack Obama,1,7.015205383300781,0.0334192,-1.0777806,35.476097,2.70801197371932,2.738669117945184,10.698851585388184,5.777114391326904,3.809058904647827
Barack Obama,0,5.639020919799805,0.045172166,4.797752,24.440716,2.680429388772292,2.666717126685873,10.845174789428711,7.233746528625488,5.263127326965332
Alec Guinness,0,3.680443286895752,0.017612826,-1.5141125,37.80252,2.811541656525847,2.6257444074588188,10.476612091064453,4.782115936279297,4.251345157623291
Queen Elizabeth II,0,4.843556880950928,0.054249894,8.327967,26.154669,2.868479854212354,2.8391174631512786,10.73015022277832,6.257019996643066,5.089271068572998
Bernie Sanders,0,3.4711050987243652,0.0495025,2.3859732,34.587574,2.876577984743581,2.8113061781349784,10.664253234863281,4.985307693481445,4.099026203155518
Nelson Mandela,1,7.061011791229248,0.114409834,8.929635,29.461447,2.8585524829101914,2.736292456903861,11.058719635009766,6.864620685577393,4.700804710388184
Barack Obama,0,3.5268514156341553,0.022270905,2.2876358,34.01399,2.807704939405812,2.7680855256770727,10.497126579284668,4.85085391998291,3.664940595626831
Ayn Rand,1,4.8524169921875,0.034936585,8.644409,24.724812,2.648864084921584,2.7073104380608495,10.896066665649414,7.132226943969727,4.786386013031006
Donald Trump,0,2.3842904567718506,0.025096443,-0.061058283,39.340214,2.727556077012089,2.71019905029685,10.447672843933105,4.714552402496338,3.842625856399536
Alec Guinness,1,9.561161994934082,0.028024755,6.2695165,32.37725,2.807706881367793,2.555320641038578,10.938316345214844,6.150294303894043,4.263209819793701
Bill Clinton,0,5.623577117919922,0.03973696,7.5251446,28.273657,2.8223739229091285,2.727093879808371,11.092402458190918,7.088680744171143,5.38128662109375
Bernie Sanders,1,9.495489120483398,0.041784517,2.5084505,24.694866,2.687534713154983,2.798353147999565,10.895480155944824,7.31889533996582,4.70150899887085
Alan Watts,1,7.244654178619385,0.0180147,-12.848342,70.70542,1.814437797378364,1.8668123180486245,8.55164623260498,2.1479921340942383,1.8614604473114014
Winston Churchill,1,4.700987815856934,0.013011482,-4.292783,49.411606,2.538941397096717,2.5290140219930146,9.916787147521973,4.3942365646362305,2.9246439933776855
Bernie Sanders,1,8.815332412719727,0.048869874,2.477849,22.89577,2.806506902642587,2.816620626962257,10.859417915344238,7.617539882659912,5.0917463302612305
Alec Guinness,1,7.11084508895874,0.027625795,3.9730747,29.271688,2.784811935703868,2.738749403517486,10.836332321166992,6.3754563331604,4.641321182250977
Barack Obama,0,4.824498653411865,0.07661731,6.8124084,24.06693,2.751103590586056,2.839774961222716,10.854572296142578,6.570387363433838,5.167696475982666
Barack Obama,0,8.450408935546875,0.036400955,5.487501,27.37812,2.7746007937354102,2.787779856985266,10.589095115661621,7.825116157531738,5.7189226150512695
Donald Trump,0,8.624887466430664,0.07313995,4.3245106,27.540457,2.69863722964417,2.6426980829248814,10.774232864379883,6.323556423187256,4.830044269561768
Donald Trump,1,2.741403579711914,0.03710167,1.0664021,29.703323,2.8442067305280023,2.722496561303088,10.678305625915527,5.711274147033691,4.019529342651367
Milton Friedman,1,8.127793312072754,0.030877987,7.0157094,29.161032,2.7943242256207594,2.7155431723308467,10.863398551940918,6.222035884857178,3.720947742462158
Richard Nixon,1,4.190644264221191,0.014587937,-13.76361,68.611534,2.092829646934394,2.1557695312107383,8.717791557312012,2.245136022567749,2.239959955215454
Alec Guinness,0,5.864798069000244,0.011311714,-10.973907,72.007385,1.6536374510948573,1.7240300872011283,8.46109390258789,2.5239415168762207,2.067633628845215
Alec Guinness,0,3.7076001167297363,0.044208612,-5.0846815,40.59869,2.776435252025056,2.6652289088008,10.342381477355957,4.511711120605469,4.070579528808594
Donald Trump,0,3.090747833251953,0.060747225,-10.261347,64.62424,2.1329252437613997,2.207392071985499,9.239897727966309,3.1467597484588623,2.6024296283721924
Bernie Sanders,1,6.147246360778809,0.041343138,1.9842074,22.04853,2.652153809441538,2.665319528672861,11.008872985839844,7.5542192459106445,5.308253288269043
Christopher Hitchens,1,9.331659317016602,0.032456934,3.4235687,26.15994,2.5189718674639026,2.704853767434133,10.77375316619873,7.439053058624268,5.094588279724121
Queen Elizabeth II,1,3.3295984268188477,0.021729281,-6.381174,59.43297,2.221193097352439,2.256932598681045,9.524799346923828,2.9668030738830566,2.3627519607543945
Ayn Rand,0,8.159253120422363,0.10853022,10.264692,29.08294,2.658334999129644,2.7745111558790527,10.866493225097656,6.455339431762695,5.11503267288208
Adam Driver,1,9.774663925170898,0.132116,4.5835137,24.94718,2.7736410953782555,2.7721607621110183,10.960312843322754,7.075922012329102,4.98991060256958
Barack Obama,0,2.6531190872192383,0.025717363,-9.020417,58.10856,2.3706911247358247,2.3548957214010304,9.58432388305664,3.7614128589630127,2.9958441257476807
Christopher Hitchens,1,7.2363433837890625,0.029770687,2.0683975,25.828371,2.6358713703656735,2.716717633753826,10.828119277954102,7.466996669769287,5.043391704559326
Bill Burr,1,8.415202140808105,0.0410359,7.35691,26.125237,2.8776216130459358,2.8030261288276614,10.936437606811523,7.585850238800049,4.966863632202148
Bernie Sanders,0,4.285462379455566,0.039195426,-7.32869,58.710148,2.2706475470702334,2.3221515219317608,9.563437461853027,3.423673391342163,2.9132211208343506
The Notorious B.I.G.,1,9.19611930847168,0.037517164,2.971336,35.581097,2.6848660541033333,2.695135795698283,10.82751750946045,5.54047966003418,3.837433338165283
Donald Trump,0,6.722656726837158,0.08737201,3.7774708,33.456825,2.817841031911524,2.789465863905695,10.621560096740723,5.050581932067871,3.926284074783325
Bernie Sanders,1,11.66116714477539,0.079886705,3.348277,24.765255,2.696163301134289,2.799779911213485,10.850910186767578,6.539495944976807,4.503722190856934
Alec Guinness,0,3.510293960571289,0.030996047,-5.541568,44.18761,2.5931564215462344,2.649003800863133,10.144083023071289,4.996845245361328,3.7999746799468994
Winston Churchill,0,1.7581757307052612,0.009154987,-13.945781,76.129166,1.8655103803802957,1.8727777087660742,8.212074279785156,2.0452356338500977,2.132772207260132
Alec Guinness,0,4.9202189445495605,0.07102111,4.113245,23.886747,2.7498806302252357,2.7205728302677223,10.906148910522461,6.420004367828369,4.854744911193848
Alec Guinness,0,10.232780456542969,0.08541667,7.806861,28.50145,2.690210051199619,2.660857381814656,10.809535026550293,5.839280605316162,4.791794776916504
Barack Obama,0,3.606843948364258,0.059056405,-1.5797763,38.198963,2.84949442275122,2.7983534259491214,10.47136116027832,5.047266006469727,3.9100732803344727
JFK,0,5.564626693725586,0.03614491,7.3704166,27.990227,2.7974972338686435,2.77653218103927,10.939342498779297,7.328383922576904,5.004771709442139
Alec Guinness,1,5.233537197113037,0.03130364,3.9094057,24.931614,2.7835465835253794,2.657922286450046,11.130404472351074,7.040186882019043,4.939549446105957
The Notorious B.I.G.,1,8.16423225402832,0.059131905,8.523269,26.895504,2.7497340177721523,2.7693371782913134,11.138285636901855,7.113523960113525,4.9084086418151855
Donald Trump,0,2.19423246383667,0.025890358,-0.009609759,46.899,2.701755481177828,2.723845735614806,10.209433555603027,4.348020553588867,3.785789728164673
Donald Trump,0,6.511221885681152,0.03476678,7.457579,27.341433,2.909204599090608,2.8324487130673606,10.644461631774902,6.535945892333984,5.289914608001709
Bernie Sanders,1,9.038957595825195,0.048982404,2.7946105,22.150429,2.8554033508513497,2.6641865418191903,11.115285873413086,7.353383541107178,5.056478023529053
Louis C.K.,1,6.2299957275390625,0.010127604,4.822316,30.3503,2.6836168577823147,2.7266910826123754,10.808826446533203,7.558501243591309,4.765869140625
The Notorious B.I.G.,1,5.9183454513549805,0.022190517,-8.289036,65.50644,1.844556506137829,1.8601062025499806,8.954395294189453,2.9900784492492676,2.0740811824798584
Bernie Sanders,1,5.321667671203613,0.045597438,2.553862,29.61201,2.721483785523213,2.856450097347912,10.985595703125,6.389918327331543,4.0326924324035645
FDR,0,6.412593841552734,0.25945133,5.384401,31.593878,2.827190516350852,2.6440061175579705,10.892271041870117,6.684673309326172,5.485482215881348
Bernie Sanders,0,0.9926786422729492,0.04610786,-9.803633,55.133774,2.3823543286767745,2.317117080810832,9.631545066833496,3.374234676361084,2.720731258392334
Donald Trump,0,6.771579265594482,0.045549504,6.838968,28.895678,2.670670956418526,2.5166713499653257,10.574430465698242,6.224752902984619,4.483738422393799
Bernie Sanders,0,6.311442852020264,0.06670075,4.4446144,29.370024,2.7499621302914634,2.8546975961610097,10.725120544433594,6.450464248657227,5.272974014282227
Winston Churchill,0,3.504769802093506,0.07051042,7.7992134,33.295883,2.814275523098655,2.647052413108872,10.846096992492676,5.679954528808594,4.509960174560547
Ronald Reagan,1,4.026333808898926,0.04776279,0.8876318,28.03661,2.8627637542805213,2.6586888877256154,10.969535827636719,6.381786823272705,4.20434045791626
Donald Trump,0,2.38135027885437,0.016676825,-10.520692,64.04864,2.062051987934583,2.1605436635095487,9.116353988647461,2.999028205871582,2.5345191955566406
Alec Guinness,1,8.894771575927734,0.028281212,4.3226166,29.90756,2.7654854892260787,2.7684711698050974,10.653925895690918,6.018232345581055,4.8905720710754395
Mark Zuckerberg,0,3.263857841491699,0.08512252,7.4851165,32.073574,2.8617816374633165,2.877074893129994,10.85046672821045,6.63986349105835,5.110607147216797
Ayn Rand,0,3.9349842071533203,0.10707404,7.4691644,29.498129,2.7862249786007562,2.7988128399309993,10.813339233398438,6.682841777801514,5.311808109283447
Mitch Hedberg,1,6.0709147453308105,0.029215371,5.78979,33.923756,2.829505959629792,2.8915405832085477,10.700987815856934,5.617999076843262,3.3409223556518555
Louis Farrakhan,1,2.8249566555023193,0.07055067,8.253947,42.089172,2.545326365382867,2.6132369165246843,10.440877914428711,3.8465023040771484,2.36296010017395
Donald Trump,0,2.626901149749756,0.038436864,3.1183746,37.13137,2.766912104106129,2.6994671095964193,10.57673454284668,4.954645156860352,3.7081339359283447
Alec Guinness,0,6.541573524475098,0.080195025,5.998331,29.396196,2.835878628208197,2.6629567446912157,10.650094985961914,5.668660640716553,4.382885932922363
Boris Johnson,0,8.430460929870605,0.03129931,-9.583567,61.44958,2.227257013131179,2.179518645639629,9.222387313842773,2.989778995513916,2.4601454734802246
Christopher Hitchens,0,4.139895915985107,0.06250346,-5.9683,60.109554,2.4213633137601507,2.402085813577661,9.339903831481934,3.7067227363586426,3.2181708812713623
Bob Ross,1,5.56599760055542,0.013749742,0.6259465,26.129654,2.791926670658689,2.7470155849436177,11.287670135498047,7.502914905548096,4.813821315765381
Bill Clinton,1,6.634248733520508,0.029649178,6.3810654,24.785921,2.7644547186608754,2.830051042322577,10.875513076782227,7.992794513702393,5.045009613037109
Ayn Rand,0,4.591839790344238,0.038264677,-9.553047,85.93677,1.414462377907753,1.3852923512331772,7.198625564575195,1.2846816778182983,1.3282599449157715
JFK,1,4.608217239379883,0.020151203,6.0295825,29.904875,2.9271736561120623,2.85109115697005,10.73556137084961,6.508510589599609,4.248373985290527
Alan Watts,1,8.186695098876953,0.028894475,4.596381,27.10647,2.742029348054054,2.733814218079065,10.922386169433594,6.82756233215332,4.777436256408691
Alan Watts,1,3.492194175720215,0.017696204,-7.472898,47.55621,2.5182616413878955,2.5675912149008924,9.966322898864746,4.079416751861572,3.1744911670684814
Martin Luther King,1,7.429994106292725,0.07030313,7.4693193,27.198174,2.6841686697001883,2.8215110803003896,10.722402572631836,7.070883274078369,4.514500617980957
Ronald Reagan,0,2.626513719558716,0.113514,3.2062585,25.927444,2.8088624828932227,2.8447865375280843,10.8854341506958,7.061158180236816,5.513753890991211
Louis Farrakhan,1,8.284416198730469,0.07068916,7.1274514,29.255915,2.5990886703964415,2.6997668451756067,10.8884859085083,6.192132949829102,4.191281795501709
Christopher Hitchens,0,6.9192304611206055,0.1197241,5.2143965,24.63126,2.806988441442705,2.6163368539263256,11.095324516296387,7.2888078689575195,5.088171005249023
Bob Ross,1,5.3268208503723145,0.036942225,4.8299723,45.184315,2.845433910714373,2.7537608300341816,10.487710952758789,5.28618049621582,4.978272438049316
John Cleese,0,4.671226978302002,0.020255612,-14.009853,70.00997,2.052271931735785,2.081136994021143,8.53760051727295,2.463395595550537,2.294800043106079
Ayn Rand,1,8.476470947265625,0.037696626,8.0538025,30.092695,2.784165320548348,2.834317361220017,10.598943710327148,7.364105224609375,5.047053813934326
Ronald Reagan,1,6.299533843994141,0.028450048,2.1523955,23.457289,2.799353802772428,2.896028603614956,10.692869186401367,7.10670280456543,5.146420001983643
Bill Clinton,1,5.646860122680664,0.026836023,4.396728,24.483355,2.776241010728472,2.7266753796878334,10.95085620880127,7.878916263580322,5.119637966156006
Christopher Hitchens,1,3.530517101287842,0.036180567,0.16342652,74.73097,1.835614733501628,1.7399893457048947,8.341137886047363,1.9834574460983276,1.3166730403900146
Bill Clinton,1,5.410175323486328,0.0176808,-6.8234425,47.57305,2.497690456483381,2.4638188109844132,9.931623458862305,4.623514175415039,3.224597454071045
Arnold Schwarzenegger,0,6.608316898345947,0.020284105,4.74819,27.414106,2.8515494378313697,2.810541713768776,10.745044708251953,6.258186340332031,4.857863903045654
Ayn Rand,0,8.191733360290527,0.107164025,10.857919,28.358149,2.7897103389892868,2.7588193966092076,11.043627738952637,6.8301920890808105,5.109388828277588
Ayn Rand,0,6.899715900421143,0.06462837,-10.620035,67.4476,2.1185240741759834,2.0038813312878787,8.983257293701172,2.801056385040283,2.6321473121643066
Alec Guinness,1,8.391134262084961,0.024220468,6.855835,25.456078,2.672179121553991,2.589809852248445,10.805832862854004,6.973392009735107,4.998581409454346
Barack Obama,0,8.791275024414062,0.036425415,4.586473,25.518776,2.798534570325796,2.7778846097410392,10.927116394042969,7.349549293518066,4.934542655944824
Barack Obama,0,9.960813522338867,0.029076263,6.913953,29.016916,2.8430550943113384,2.7653008692947925,10.797638893127441,6.738037109375,4.919040203094482
George W. Bush,1,5.321467399597168,0.018822815,0.9374541,35.579235,2.816148280211207,2.831993347744248,10.839530944824219,5.646255970001221,3.778744697570801
Donald Trump,0,9.084264755249023,0.02183682,7.129637,37.188602,2.8246159477311177,2.8527267763688298,10.412715911865234,5.518194198608398,5.171494960784912
Martin Luther King,0,3.29262638092041,0.016823033,-14.131317,71.22142,2.014046358070578,1.915331096977461,8.536591529846191,2.196364641189575,2.2635796070098877
Alec Guinness,1,3.0625698566436768,0.012410814,-11.736412,61.65355,2.1822347014744663,2.230811018191263,9.146377563476562,3.4121718406677246,2.592977285385132
Alan Watts,0,2.9285354614257812,0.05613806,-1.3519071,35.851772,2.7508827687918953,2.834377559923179,10.658284187316895,5.1775736808776855,4.0657267570495605
Martin Luther King,1,4.2043256759643555,0.05491139,3.752791,37.042328,2.760258944728922,2.766555777293699,10.520565032958984,4.6323323249816895,3.9752633571624756
Barack Obama,0,2.715508460998535,0.0150035955,-12.47151,72.32211,1.9739362814564927,1.9672436789113141,8.529094696044922,2.1124765872955322,2.1456732749938965
Barack Obama,0,1.0489565134048462,0.022835134,-8.194681,53.57764,2.382915859420883,2.3753771353940345,9.84547233581543,4.175426483154297,3.0715160369873047
Donald Trump,0,5.936357498168945,0.024390057,6.933839,24.677347,2.746215641896071,2.811836722593401,10.873019218444824,7.22206974029541,4.813180446624756
Louis Farrakhan,1,7.365346431732178,0.048012845,5.818322,34.81566,2.846861520984161,2.7435543914702087,10.886979103088379,5.8095293045043945,3.5087502002716064
Bill Clinton,1,4.333370208740234,0.02257788,-1.5170398,32.262657,2.7473340145271994,2.810046439793803,10.74632740020752,6.319146156311035,4.205864906311035
Bernie Sanders,1,7.476198196411133,0.04330997,3.911773,25.729734,2.7413752774940914,2.6654478172095524,10.992581367492676,6.662332057952881,4.63223934173584
Barack Obama,0,6.894463539123535,0.017215062,9.308695,34.993015,2.90188603109782,2.834674275582417,10.800183296203613,5.926459789276123,4.82895040512085
Barack Obama,0,1.872973084449768,0.00557569,-5.924993,52.44104,2.4941926904438163,2.483267152175944,9.950647354125977,4.609674453735352,3.2503714561462402
Bernie Sanders,1,6.873140335083008,0.042122837,4.4572024,29.101559,2.810454452893797,2.8741426764247615,11.024324417114258,6.385831356048584,4.155520915985107
Robert Kardashian,1,4.172253131866455,0.01593964,-11.441926,64.09954,1.947706568181533,1.894006160379623,8.532204627990723,2.274956226348877,2.3130297660827637
Alec Guinness,0,6.481310844421387,0.08501192,4.7412815,33.72409,2.7827698037074713,2.6720111575711982,10.528965950012207,5.397421360015869,4.689190864562988
Barack Obama,0,5.830955505371094,0.033333957,6.0867343,36.660572,2.856504901539187,2.787743569054407,10.816067695617676,6.978449821472168,5.299653053283691
Barack Obama,1,8.118294715881348,0.025537182,6.2181597,24.42634,2.8777919997931103,2.8944600447068707,10.84291934967041,7.35649299621582,5.009036540985107
Donald Trump,1,5.0712690353393555,0.030047609,-7.066691,60.984447,2.2310803113773985,2.1950558040503374,9.221562385559082,2.9739432334899902,2.2601447105407715
Queen Elizabeth II,1,4.554346084594727,0.02507952,9.762785,26.308056,2.853228502754596,2.6993692951056594,10.78056526184082,6.398906707763672,4.451488018035889
Alec Guinness,0,2.0699005126953125,0.021039376,-4.6640244,48.997116,2.668862868524904,2.6540100111961147,10.177294731140137,4.237771987915039,4.133540153503418
Ayn Rand,1,8.46198844909668,0.043296315,9.059311,25.335634,2.805083606509134,2.73180045698418,10.972535133361816,6.716778755187988,4.370937824249268
Barack Obama,0,7.590794086456299,0.04777605,5.5944524,33.69898,2.8513821387173146,2.8323662188623397,10.855712890625,6.901535511016846,4.8375444412231445
Nelson Mandela,0,5.3119916915893555,0.06848734,4.799695,29.010258,2.81426482845583,2.7828779314602445,10.766033172607422,5.794464111328125,4.370987892150879
Bill Clinton,1,9.346714973449707,0.027229363,5.6159754,27.06276,2.7189979554830845,2.715019178256934,10.9561767578125,7.1247148513793945,4.8584513664245605
Jeff Goldblum,0,4.38593864440918,0.046174027,-5.073836,54.30755,2.398435152655561,2.3309115252629864,9.461047172546387,2.859320878982544,2.682778835296631
Alec Guinness,0,5.59963321685791,0.030297186,1.7388172,36.12378,2.78138055814909,2.757773383431962,10.810559272766113,4.918989181518555,4.16106653213501
Ayn Rand,1,6.2023725509643555,0.034037013,2.9303777,28.565107,2.707319255097685,2.774065473363262,10.88117504119873,6.5594282150268555,4.199820518493652
Alec Guinness,1,6.408969879150391,0.02006525,4.2123756,33.958473,2.760229359747066,2.760567739693063,10.765493392944336,6.001391410827637,4.770024299621582
Bernie Sanders,1,6.735755443572998,0.024233527,1.3891351,22.46827,2.7431891885457884,2.7008119130742494,11.154191970825195,8.305932998657227,5.355722904205322
JFK,1,5.845720291137695,0.020755986,3.5599072,28.240164,2.9039433135141803,2.876857909026584,10.799779891967773,6.5605549812316895,4.0857648849487305
Kanye West,0,9.143877029418945,0.11891749,9.560487,28.619295,2.792440032426951,2.792606227816653,10.874017715454102,5.716026306152344,4.725041389465332
Donald Trump,0,6.345423698425293,0.03161864,3.9222577,43.992752,2.7831096397452635,2.726734942534815,10.42001724243164,4.901483058929443,3.5299293994903564
Ayn Rand,1,1.5392652750015259,0.02057498,-13.053577,86.20969,1.5098181025194883,1.562690720863105,7.543224334716797,1.7803641557693481,1.3197823762893677
Ronald Reagan,1,3.112459659576416,0.022579353,-2.648456,40.739025,2.5995466814798998,2.4564827721385956,10.582398414611816,4.682176113128662,2.9690773487091064
Donald Trump,1,1.5854233503341675,0.04756479,-5.788343,75.95052,2.3884295234477295,2.254412775594898,8.27570915222168,1.980847716331482,3.0441200733184814
Martin Luther King,1,7.000681400299072,0.0535115,8.844496,28.178667,2.6915870529002905,2.6489431902791094,11.228646278381348,6.138642311096191,4.319243431091309
Winston Churchill,1,6.371589183807373,0.022355871,8.116234,30.64178,2.6423042389169766,2.6048270462961325,11.114742279052734,7.649786949157715,4.371142864227295
Barack Obama,1,7.408717155456543,0.027769372,5.4227214,24.505278,2.90550668941431,2.7048135129063993,10.7781400680542,7.339047908782959,5.016001224517822
George W. Bush,1,6.960466384887695,0.016218405,4.4135714,25.784822,2.6722002357685133,2.745879272764713,10.446779251098633,7.553668022155762,5.0333638191223145
Alec Guinness,0,7.806991100311279,0.03858024,5.6725254,26.987196,2.908967156796713,2.7977834282466723,11.070198059082031,5.746905326843262,4.993459224700928
Winston Churchill,0,2.06050443649292,0.07783796,7.4681263,30.2374,2.8532203918955834,2.823304239205582,10.948387145996094,6.407026290893555,4.902029514312744
Louis Farrakhan,0,4.442080497741699,0.05703474,6.137372,38.37402,2.8713232801921658,2.662813303172781,10.262767791748047,4.543644905090332,4.939985752105713
Mark Zuckerberg,0,2.7149817943573,0.0017178432,-3.86122,88.68571,1.46163069102433,1.3501208704040137,7.128364562988281,0.9484830498695374,1.424411416053772
Ronald Reagan,1,6.209569931030273,0.025679922,1.5319307,21.200981,2.8380962111436796,2.7396635206068556,11.028292655944824,7.61235237121582,4.890484809875488
Christopher Hitchens,0,5.520567893981934,0.08646128,4.3306327,26.813778,2.8425665190039666,2.8148848887448286,10.953944206237793,5.7332353591918945,4.526023864746094
Mark Zuckerberg,1,4.65505313873291,0.057708234,6.4056787,32.156548,2.783201276029613,2.7125934763182564,10.928252220153809,5.943601608276367,4.071370601654053
