aug_set,model,file,position,insert_s0,insert_s1,n_in,n_out,logit_in,logit_out,logit_in_minus_out
asv19+bark,mlaad_cal,wavs/spoof_00100.wav,start,0.0,4.83,18,16,9.393798973825243,7.230513691902161,2.1632852819230823
asv19+bark,asv19,wavs/spoof_00782.wav,end,0.97,7.01,24,2,4.652389479801059,7.585939884185791,-2.9335504043847322
asv19+bark,mlaad_cal,wavs/spoof_00782.wav,end,0.97,7.01,24,2,5.786704235089322,8.633949756622314,-2.847245521532993
asv19+bark,asv19,wavs/spoof_01781.wav,start,0.0,4.27,16,10,2.0834025349467993,5.81801323890686,-3.734610703960061
asv19+bark,mlaad_cal,wavs/spoof_01781.wav,start,0.0,4.27,16,10,7.8572284281253815,9.300493907928466,-1.4432654798030846
asv19+bark,asv19,wavs/spoof_01416.wav,mid,0.98,3.98,12,5,0.8213346898555756,4.278716564178467,-3.4573818743228912
asv19+bark,mlaad_cal,wavs/spoof_01416.wav,mid,0.98,3.98,12,5,6.8984066645304365,6.976832914352417,-0.07842624982198032
asv19+bark,asv19,wavs/spoof_00351.wav,end,3.09,6.06,11,11,2.589384455572475,7.882301547310569,-5.292917091738094
asv19+bark,mlaad_cal,wavs/spoof_00351.wav,end,3.09,6.06,11,11,7.13534385507757,8.901826121590354,-1.7664822665127833
asv19+bark,asv19,wavs/spoof_01874.wav,start,0.0,4.47,16,10,2.9577554166316986,1.9516140073537827,1.006141409277916
asv19+bark,mlaad_cal,wavs/spoof_01874.wav,start,0.0,4.47,16,10,8.32036043703556,4.779822042584419,3.5405383944511417
asv19+bark,asv19,wavs/spoof_00648.wav,mid,0.84,14.98,56,5,3.0431728893890977,7.809140205383301,-4.765967315994203
asv19+bark,mlaad_cal,wavs/spoof_00648.wav,mid,0.84,14.98,56,5,9.993311532906123,9.372265625,0.6210459079061224
asv19+bark,asv19,wavs/spoof_00824.wav,mid,0.87,5.87,20,4,1.869883093237877,5.723681449890137,-3.85379835665226
asv19+bark,mlaad_cal,wavs/spoof_00824.wav,mid,0.87,5.87,20,4,8.556259512901306,7.732179760932922,0.8240797519683838
mlaad+bark,asv19,wavs/spoof_00014_LuxTTS.wav,end,5.92,7.61,6,22,3.9337125370899835,6.9331282323057,-2.9994156952157165
mlaad+bark,mlaad_cal,wavs/spoof_00014_LuxTTS.wav,end,5.92,7.61,6,22,9.761515537897745,4.876643934033134,4.884871603864611
mlaad+bark,asv19,wavs/spoof_00021_ElevenLabs-Turbo-v2.5.wav,mid,4.71,6.55,8,35,4.922437720000744,2.464062382600137,2.4583753374006068
mlaad+bark,mlaad_cal,wavs/spoof_00021_ElevenLabs-Turbo-v2.5.wav,mid,4.71,6.55,8,35,6.931183859705925,7.235063253130232,-0.3038793934243067
mlaad+bark,asv19,wavs/spoof_00023_GLM-TTS.wav,mid,4.57,18.72,56,35,3.307537505403161,5.309466935907092,-2.001929430503931
mlaad+bark,mlaad_cal,wavs/spoof_00023_GLM-TTS.wav,mid,4.57,18.72,56,35,9.391297025339943,7.166198294503348,2.225098730836595
mlaad+bark,asv19,wavs/spoof_00045_Cartesia.ai_(Sonic-3).wav,start,0.0,3.59,13,48,1.2356792310109506,3.4837639718316495,-2.248084740820699
mlaad+bark,mlaad_cal,wavs/spoof_00045_Cartesia.ai_(Sonic-3).wav,start,0.0,3.59,13,48,9.449080650623028,6.123460579663515,3.3256200709595127
mlaad+bark,asv19,wavs/spoof_00049_MOSS-TTS-8B.wav,start,0.0,2.21,7,9,1.769261360168457,-0.06109031207031674,1.8303516722387738
mlaad+bark,mlaad_cal,wavs/spoof_00049_MOSS-TTS-8B.wav,start,0.0,2.21,7,9,9.083761487688337,5.200880487759908,3.882880999928429
mlaad+bark,asv19,wavs/spoof_00056_ElevenLabs-v2-Multilingual.wav,mid,3.74,7.9,17,27,2.9529935279313255,6.698332031567891,-3.7453385036365656
mlaad+bark,mlaad_cal,wavs/spoof_00056_ElevenLabs-v2-Multilingual.wav,mid,3.74,7.9,17,27,7.088755467358758,7.410145706600613,-0.32139023924185484
mlaad+bark,asv19,wavs/spoof_00060_Indri-TTS-0.1.wav,end,3.28,7.04,14,12,1.6465072179479259,3.351456350957354,-1.7049491330094282
mlaad+bark,mlaad_cal,wavs/spoof_00060_Indri-TTS-0.1.wav,end,3.28,7.04,14,12,5.320033601352146,7.01610932747523,-1.6960757261230839
mlaad+bark,asv19,wavs/spoof_00071_Kitten-TTS-Nano-0.2.wav,start,0.0,2.69,9,31,1.5313093438744545,6.237320398130724,-4.70601105425627
mlaad+bark,mlaad_cal,wavs/spoof_00071_Kitten-TTS-Nano-0.2.wav,start,0.0,2.69,9,31,9.894462797376844,7.809258230270878,2.0852045671059667
mlaad+bark,asv19,wavs/spoof_00083_Llasa-1B.wav,start,0.0,2.21,7,14,3.8640446407454356,5.743029513529369,-1.8789848727839336
mlaad+bark,mlaad_cal,wavs/spoof_00083_Llasa-1B.wav,start,0.0,2.21,7,14,10.107880319867816,8.403746707098824,1.7041336127689917
mlaad+bark,asv19,wavs/spoof_00086_Higgs-Audio-V2.wav,mid,4.52,8.79,17,34,1.4681978304596508,4.990968510508537,-3.5227706800488865
mlaad+bark,mlaad_cal,wavs/spoof_00086_Higgs-Audio-V2.wav,mid,4.52,8.79,17,34,7.664429243873148,7.178165702258839,0.4862635416143082
mlaad+bark,asv19,wavs/spoof_00100_Fish-S2-Pro.wav,start,0.0,3.17,11,45,1.3629027848893946,3.9195910962091554,-2.5566883113197605
mlaad+bark,mlaad_cal,wavs/spoof_00100_Fish-S2-Pro.wav,start,0.0,3.17,11,45,8.081029285084117,7.329136069615682,0.751893215468435
mlaad+bark,asv19,wavs/spoof_00118_MOSS-TTS-8B.wav,start,0.0,4.27,16,10,1.4872487259563059,3.3732692331075667,-1.8860205071512608
mlaad+bark,mlaad_cal,wavs/spoof_00118_MOSS-TTS-8B.wav,start,0.0,4.27,16,10,7.668945014476776,7.884288692474366,-0.21534367799758947
mlaad+bark,asv19,wavs/spoof_00122_FireRedTTS-2.0.wav,mid,4.8,10.87,24,36,2.31229767203331,3.6365071670669646,-1.3242094950336547
mlaad+bark,mlaad_cal,wavs/spoof_00122_FireRedTTS-2.0.wav,mid,4.8,10.87,24,36,7.14406634370486,5.8218430744277105,1.3222232692771492
mlaad+bark,asv19,wavs/spoof_00124_Llasa-8B.wav,mid,2.66,16.85,57,19,1.592557863969552,2.650934824818059,-1.0583769608485072
mlaad+bark,mlaad_cal,wavs/spoof_00124_Llasa-8B.wav,mid,2.66,16.85,57,19,8.687249681405854,4.661013553017064,4.02623612838879
mlaad+bark,asv19,wavs/spoof_00131_Gemini-3.1-Flash-TTS.wav,start,0.0,3.35,12,35,-0.25551116342345875,4.393517276218959,-4.649028439642418
mlaad+bark,mlaad_cal,wavs/spoof_00131_Gemini-3.1-Flash-TTS.wav,start,0.0,3.35,12,35,8.828096310297648,7.589607627051217,1.2384886832464304
