idx,sample_id,label,system_id,logit,sigmoid_prob,pred,kl_combined,kl_h0,kl_h1,kl_h2,kl_h3,kl_h4,kl_h5
172,172,1,A02,9.88312,0.99995,1,0.318535,0.217634,0.329308,0.323130,0.299329,0.442703,0.299105
173,173,1,A05,8.86178,0.99986,1,0.399235,0.314515,0.490133,0.305932,0.529046,0.451590,0.304196
174,174,1,A02,8.95597,0.99987,1,0.140637,0.108913,0.181320,0.128866,0.123997,0.234172,0.066555
175,175,1,A06,5.59344,0.99629,1,0.359948,0.290818,0.437294,0.279359,0.415296,0.465408,0.271511
176,176,1,A03,10.38461,0.99997,1,0.199654,0.150088,0.236562,0.162701,0.182362,0.329104,0.137108
177,177,1,A01,11.29351,0.99999,1,0.191961,0.193354,0.207589,0.183430,0.163157,0.208413,0.195824
178,178,1,A02,5.04717,0.99361,1,0.656248,0.547869,0.775805,0.606971,0.798508,0.730975,0.477361
179,179,1,A05,9.83768,0.99995,1,0.257061,0.188947,0.389596,0.178264,0.216620,0.415097,0.153843
180,180,0,-,-1.20472,0.23064,0,0.331802,0.340281,0.343366,0.303436,0.396115,0.352415,0.255199
181,181,1,A02,11.64964,0.99999,1,0.290087,0.274990,0.310225,0.355908,0.295310,0.293430,0.210659
182,182,1,A02,7.19320,0.99925,1,0.211134,0.192515,0.230541,0.153779,0.207435,0.366683,0.115850
183,183,1,A06,3.80240,0.97817,1,0.446182,0.311581,0.538695,0.360702,0.580682,0.598069,0.287363
184,184,1,A03,9.15116,0.99989,1,0.259455,0.195134,0.223501,0.227549,0.295920,0.426061,0.188568
185,185,1,A06,-0.23651,0.44115,0,0.294238,0.214554,0.317882,0.194237,0.254364,0.639828,0.144563
186,186,1,A03,9.57021,0.99993,1,0.647468,0.425514,0.915482,0.517993,0.752799,0.849742,0.423277
187,187,0,-,-0.74517,0.32188,0,0.291609,0.219182,0.307552,0.205331,0.293382,0.543524,0.180683
188,188,0,-,-1.49428,0.18328,0,0.270222,0.173516,0.451422,0.190360,0.265602,0.339087,0.201343
189,189,1,A04,7.48037,0.99944,1,0.248378,0.224313,0.228857,0.249141,0.324167,0.299467,0.164324
190,190,1,A05,9.48852,0.99992,1,0.478028,0.415797,0.517275,0.414047,0.502134,0.695698,0.323214
191,191,1,A06,0.48172,0.61815,1,0.360014,0.222389,0.426196,0.324786,0.440508,0.325478,0.420728
192,192,1,A03,6.79173,0.99888,1,0.410134,0.260029,0.483744,0.391609,0.463277,0.576946,0.285200
193,193,1,A04,10.30838,0.99997,1,0.205379,0.142827,0.248516,0.253249,0.211804,0.245546,0.130334
194,194,1,A05,2.01109,0.88196,1,1.209061,1.052571,1.212955,1.334945,1.778459,0.983871,0.891564
195,195,1,A04,7.75209,0.99957,1,0.291132,0.271061,0.345590,0.284213,0.343247,0.309456,0.193226
196,196,1,A02,6.74085,0.99882,1,0.325040,0.217239,0.442929,0.214976,0.312643,0.561787,0.200668
197,197,1,A01,9.66288,0.99994,1,0.519351,0.479973,0.589088,0.487338,0.671854,0.511763,0.376093
198,198,1,A02,10.48582,0.99997,1,0.186013,0.151478,0.234085,0.132621,0.164701,0.286445,0.146750
199,199,1,A01,10.39581,0.99997,1,0.365283,0.241904,0.470826,0.313052,0.379335,0.551265,0.235319
200,200,1,A04,7.38321,0.99938,1,0.178795,0.132708,0.195506,0.175881,0.178934,0.265326,0.124419
201,201,1,A02,2.55300,0.92777,1,0.236918,0.204263,0.221787,0.216359,0.308516,0.309391,0.161191
202,202,1,A02,5.66929,0.99656,1,0.306777,0.195781,0.450771,0.232403,0.361825,0.382194,0.217692
203,203,1,A05,8.69111,0.99983,1,0.589812,0.474981,0.619012,0.550013,0.698841,0.694927,0.501095
204,204,1,A01,9.89392,0.99995,1,0.196495,0.233496,0.179232,0.203077,0.177038,0.239576,0.146548
205,205,1,A05,8.82305,0.99985,1,0.274987,0.210742,0.310138,0.212324,0.320070,0.367869,0.228779
206,206,1,A04,9.12659,0.99989,1,0.377760,0.323853,0.348080,0.426578,0.357204,0.412084,0.398759
207,207,1,A03,2.80592,0.94300,1,0.230228,0.146741,0.428769,0.154324,0.185945,0.311438,0.154155
208,208,1,A04,8.68053,0.99983,1,0.334004,0.221187,0.415788,0.281023,0.427114,0.411900,0.247011
209,209,1,A01,10.23708,0.99996,1,0.227367,0.160625,0.230692,0.257074,0.235887,0.318418,0.161507
210,210,1,A03,5.23115,0.99468,1,0.716178,0.853770,0.827956,0.702691,0.741987,0.698157,0.472509
211,211,1,A03,6.91709,0.99901,1,0.233827,0.166348,0.223099,0.257224,0.179567,0.402791,0.173934
212,212,1,A04,9.21644,0.99990,1,0.325778,0.306165,0.352047,0.309649,0.399026,0.342775,0.245006
213,213,1,A05,8.84517,0.99986,1,0.264828,0.291952,0.241460,0.236546,0.297316,0.270967,0.250727
214,214,0,-,1.73694,0.85030,1,0.260781,0.186441,0.396676,0.246296,0.292598,0.283732,0.158945
215,215,1,A05,9.16679,0.99990,1,0.207717,0.160780,0.278404,0.187958,0.238244,0.237051,0.143867
216,216,1,A06,4.26917,0.98620,1,0.290799,0.206066,0.353968,0.229614,0.330466,0.394550,0.230133
217,217,1,A06,2.57350,0.92914,1,0.193902,0.172240,0.222496,0.179462,0.211592,0.228160,0.149463
218,218,0,-,6.62240,0.99867,1,0.534807,0.388397,0.773866,0.550105,0.491763,0.643564,0.361149
219,219,1,A04,9.07423,0.99989,1,0.214654,0.149006,0.348886,0.177996,0.241231,0.256088,0.114719
220,220,1,A01,10.78437,0.99998,1,0.171564,0.158742,0.222512,0.151832,0.162848,0.237130,0.096323
221,221,1,A03,6.90125,0.99899,1,0.182244,0.167770,0.196721,0.169271,0.194491,0.228178,0.137034
222,222,1,A01,8.25565,0.99974,1,0.342914,0.261062,0.365557,0.290061,0.354317,0.476291,0.310196
223,223,1,A06,2.47036,0.92204,1,0.424813,0.279741,0.525031,0.368309,0.460779,0.642170,0.272851
224,224,1,A03,5.34787,0.99526,1,0.262980,0.160654,0.384898,0.246784,0.256793,0.369455,0.159293
225,225,1,A06,6.33883,0.99824,1,0.509812,0.486894,0.520901,0.596876,0.457763,0.430318,0.566122
226,226,1,A04,6.87867,0.99897,1,0.379430,0.410435,0.408929,0.358881,0.413612,0.350374,0.334352
227,227,1,A01,10.36299,0.99997,1,0.171346,0.177208,0.186165,0.177684,0.162218,0.220864,0.103937
228,228,1,A03,11.03322,0.99998,1,0.138420,0.108804,0.196460,0.115459,0.123306,0.195208,0.091284
229,229,1,A01,9.00594,0.99988,1,0.398009,0.280056,0.549984,0.408692,0.461547,0.419056,0.268720
230,230,1,A01,10.08087,0.99996,1,0.258791,0.249603,0.258966,0.226180,0.266595,0.409880,0.141521
231,231,1,A06,6.22892,0.99803,1,0.252236,0.156326,0.250874,0.160314,0.206311,0.556057,0.183537
232,232,1,A02,10.28610,0.99997,1,0.127070,0.114749,0.170815,0.105207,0.097368,0.207676,0.066607
233,233,1,A03,7.28084,0.99931,1,0.247497,0.209467,0.329988,0.216692,0.269521,0.298569,0.160744
234,234,1,A05,8.27255,0.99974,1,1.078343,0.713912,1.277445,1.029252,0.904884,1.696107,0.848460
235,235,1,A01,11.51245,0.99999,1,0.240724,0.219888,0.282150,0.163567,0.211810,0.423863,0.143065
236,236,1,A01,10.46911,0.99997,1,0.226175,0.193835,0.267253,0.208697,0.235930,0.244392,0.206943
237,237,1,A02,6.62652,0.99868,1,0.431799,0.426672,0.490361,0.371438,0.490519,0.425544,0.386264
238,238,1,A06,2.08631,0.88957,1,0.337264,0.303709,0.426289,0.344668,0.317125,0.418311,0.213479
239,239,1,A01,9.67132,0.99994,1,0.455955,0.338349,0.615797,0.364472,0.367348,0.817527,0.232237
240,240,1,A03,9.14708,0.99989,1,0.237135,0.254320,0.297193,0.224710,0.202960,0.291716,0.151907
241,241,1,A06,0.00719,0.50180,1,0.367638,0.286396,0.497726,0.270041,0.413176,0.507390,0.231101
242,242,1,A06,1.78625,0.85647,1,0.237828,0.190213,0.236629,0.217737,0.216521,0.356728,0.209143
243,243,1,A02,7.46944,0.99943,1,0.375543,0.231836,0.402785,0.344604,0.453090,0.562099,0.258842
244,244,1,A04,7.75625,0.99957,1,0.139848,0.105488,0.182050,0.128554,0.151668,0.172625,0.098707
245,245,1,A06,0.92329,0.71571,1,0.880783,0.716044,0.909009,0.762022,0.874036,1.395004,0.628584
246,246,1,A02,5.45867,0.99576,1,0.232634,0.200559,0.206137,0.176293,0.219564,0.425516,0.167738
