group,file_path,start_s,end_s,pair_id,speaker
laugh-bona,data/in_the_wild/3863.wav,0.0792,0.6601,111,Mark Zuckerberg
laugh-bona,data/in_the_wild/3864.wav,9.5745,11.8772,112,Bill Burr
laugh-bona,data/in_the_wild/3896.wav,5.5795,6.3726,113,Barack Obama
laugh-bona,data/in_the_wild/3933.wav,7.0378,7.7391,114,Bernie Sanders
laugh-bona,data/in_the_wild/3950.wav,1.3394,2.0233,115,Mark Zuckerberg
laugh-bona,data/in_the_wild/3952.wav,2.8503,5.3345,116,Barack Obama
laugh-bona,data/in_the_wild/3975.wav,2.5915,4.1702,117,2Pac
laugh-bona,data/in_the_wild/4008.wav,2.4,2.9,118,Barack Obama
laugh-bona,data/in_the_wild/4024.wav,6.84,10.108,119,Alec Guinness
laugh-bona,data/in_the_wild/4043.wav,0.0,0.5,120,Barack Obama
laugh-bona,data/in_the_wild/4060.wav,2.7941,4.0696,121,Bill Clinton
laugh-bona,data/in_the_wild/4180.wav,0.9782,1.4782,122,Ayn Rand
laugh-bona,data/in_the_wild/4268.wav,2.9846,3.9692,123,Barack Obama
laugh-bona,data/in_the_wild/4321.wav,6.75,7.4732,124,Christopher Hitchens
laugh-bona,data/in_the_wild/4338.wav,4.0796,5.1713,125,Barack Obama
laugh-bona,data/in_the_wild/4358.wav,3.0974,3.5974,126,Bernie Sanders
laugh-bona,data/in_the_wild/4398.wav,0.0,0.7441,127,Donald Trump
laugh-bona,data/in_the_wild/4479.wav,0.0,0.6632,128,Barack Obama
laugh-bona,data/in_the_wild/4490.wav,14.1298,16.5753,129,Alec Guinness
laugh-bona,data/in_the_wild/4521.wav,2.7425,4.3699,130,Mark Zuckerberg
laugh-bona,data/in_the_wild/4545.wav,4.8635,6.0725,131,Barack Obama
laugh-bona,data/in_the_wild/4618.wav,0.0,0.5,132,Barack Obama
laugh-bona,data/in_the_wild/4618.wav,4.6611,5.6719,133,Barack Obama
laugh-bona,data/in_the_wild/4629.wav,4.1845,7.23,134,2Pac
laugh-bona,data/in_the_wild/4629.wav,14.262,15.4752,135,2Pac
laugh-bona,data/in_the_wild/4668.wav,11.7135,12.8748,136,Malcolm X
laugh-bona,data/in_the_wild/4774.wav,0.0,0.5112,137,Barack Obama
laugh-bona,data/in_the_wild/4788.wav,0.7114,2.9511,138,Alexandria Ocasio-Cortez
laugh-bona,data/in_the_wild/4797.wav,3.9429,5.1714,139,Barack Obama
laugh-bona,data/in_the_wild/4829.wav,0.0,1.4571,140,Arnold Schwarzenegger
laugh-bona,data/in_the_wild/4841.wav,0.0,1.1966,141,Donald Trump
laugh-bona,data/in_the_wild/4849.wav,0.0,0.5,142,Bill Clinton
laugh-bona,data/in_the_wild/4881.wav,0.0,0.5,143,Barack Obama
laugh-bona,data/in_the_wild/4899.wav,3.7538,4.8713,144,Bernie Sanders
laugh-bona,data/in_the_wild/4907.wav,7.3716,7.8736,145,Barack Obama
laugh-bona,data/in_the_wild/4914.wav,0.0,2.5698,146,Arnold Schwarzenegger
laugh-bona,data/in_the_wild/4953.wav,3.555,4.74,147,Donald Trump
laugh-bona,data/in_the_wild/4955.wav,1.3226,2.8422,148,Barack Obama
laugh-bona,data/in_the_wild/4970.wav,0.0,1.4182,149,Mark Zuckerberg
laugh-bona,data/in_the_wild/5045.wav,2.5712,3.6686,150,Donald Trump
laugh-bona,data/in_the_wild/5084.wav,0.0,0.5,151,Donald Trump
laugh-bona,data/in_the_wild/5106.wav,0.0,0.7071,152,Christopher Hitchens
laugh-bona,data/in_the_wild/5140.wav,2.0289,5.8864,153,Donald Trump
laugh-bona,data/in_the_wild/5157.wav,0.0,0.5768,154,Donald Trump
laugh-bona,data/in_the_wild/5183.wav,0.0,0.5,155,Bill Clinton
laugh-bona,data/in_the_wild/5218.wav,0.0,0.5,156,Alexandria Ocasio-Cortez
laugh-bona,data/in_the_wild/5218.wav,12.525,13.275,157,Alexandria Ocasio-Cortez
laugh-bona,data/in_the_wild/5236.wav,4.6162,7.2732,158,Barack Obama
laugh-bona,data/in_the_wild/5245.wav,0.0,0.5056,159,Barack Obama
laugh-bona,data/in_the_wild/5268.wav,12.6578,13.6763,160,Billie Eilish
laugh-bona,data/in_the_wild/5319.wav,3.9294,5.5282,161,Mark Zuckerberg
laugh-bona,data/in_the_wild/5375.wav,0.0,1.0983,162,Donald Trump
laugh-bona,data/in_the_wild/5474.wav,4.3008,6.573,163,Milton Friedman
laugh-bona,data/in_the_wild/5521.wav,0.0,1.0504,164,Donald Trump
laugh-bona,data/in_the_wild/5528.wav,0.0,0.9949,165,Arnold Schwarzenegger
laugh-bona,data/in_the_wild/5555.wav,2.097,2.6417,166,Barack Obama
laugh-bona,data/in_the_wild/5645.wav,2.7946,4.2868,167,Barack Obama
laugh-bona,data/in_the_wild/5685.wav,0.0,0.5,168,Donald Trump
laugh-bona,data/in_the_wild/5689.wav,5.8385,7.1225,169,Queen Elizabeth II
laugh-bona,data/in_the_wild/5705.wav,7.04,7.5733,170,2Pac
laugh-bona,data/in_the_wild/5742.wav,5.1081,6.973,171,Donald Trump
laugh-bona,data/in_the_wild/5836.wav,0.0,0.8101,172,Boris Johnson
laugh-bona,data/in_the_wild/5837.wav,0.0,0.5,173,Donald Trump
laugh-bona,data/in_the_wild/5849.wav,3.0027,4.3703,174,Barack Obama
laugh-bona,data/in_the_wild/5873.wav,9.8648,12.3749,175,Barack Obama
laugh-bona,data/in_the_wild/5888.wav,0.0,0.5852,176,Barack Obama
laugh-bona,data/in_the_wild/5916.wav,7.003,10.2744,177,Mark Zuckerberg
laugh-bona,data/in_the_wild/6024.wav,0.0,0.7668,178,Donald Trump
laugh-bona,data/in_the_wild/6088.wav,0.2374,1.1871,179,Barack Obama
speech-bona,data/in_the_wild/45.wav,2.9891,6.7891,0,Mark Zuckerberg
speech-bona,data/in_the_wild/72.wav,3.7689,5.5191,1,Barack Obama
speech-bona,data/in_the_wild/82.wav,0.0361,0.5361,2,Alec Guinness
speech-bona,data/in_the_wild/113.wav,4.4287,6.7062,3,Donald Trump
speech-bona,data/in_the_wild/113.wav,2.5448,3.3864,4,Donald Trump
speech-bona,data/in_the_wild/129.wav,0.188,1.7172,5,Milton Friedman
speech-bona,data/in_the_wild/158.wav,0.803,3.3557,6,Donald Trump
speech-bona,data/in_the_wild/223.wav,6.7424,9.4189,7,Barack Obama
speech-bona,data/in_the_wild/244.wav,0.2997,2.0347,8,Barack Obama
speech-bona,data/in_the_wild/330.wav,1.9546,2.4546,9,Bernie Sanders
speech-bona,data/in_the_wild/358.wav,1.7581,2.2672,10,Ayn Rand
speech-bona,data/in_the_wild/365.wav,0.5062,1.4229,11,Barack Obama
speech-bona,data/in_the_wild/419.wav,2.99,3.49,12,Barack Obama
speech-bona,data/in_the_wild/465.wav,1.6971,2.2059,13,Barack Obama
speech-bona,data/in_the_wild/564.wav,3.769,4.6512,14,Mark Zuckerberg
speech-bona,data/in_the_wild/575.wav,7.9418,9.2866,15,2Pac
speech-bona,data/in_the_wild/575.wav,9.0264,10.4934,16,2Pac
speech-bona,data/in_the_wild/575.wav,6.8354,10.6985,17,2Pac
speech-bona,data/in_the_wild/575.wav,8.1379,9.2137,18,2Pac
speech-bona,data/in_the_wild/576.wav,3.2684,3.7684,19,Bernie Sanders
speech-bona,data/in_the_wild/591.wav,1.6648,2.1648,20,Bernie Sanders
speech-bona,data/in_the_wild/603.wav,3.6946,4.9679,21,Mark Zuckerberg
speech-bona,data/in_the_wild/672.wav,3.7764,4.5586,22,Barack Obama
speech-bona,data/in_the_wild/672.wav,6.513,7.1485,23,Barack Obama
speech-bona,data/in_the_wild/672.wav,2.2817,4.4817,24,Barack Obama
speech-bona,data/in_the_wild/719.wav,0.8587,2.7438,25,Barack Obama
speech-bona,data/in_the_wild/799.wav,2.1438,3.2771,26,Bernie Sanders
speech-bona,data/in_the_wild/830.wav,3.246,3.7712,27,Barack Obama
speech-bona,data/in_the_wild/837.wav,5.606,6.4392,28,Bernie Sanders
speech-bona,data/in_the_wild/907.wav,2.1233,2.8646,29,Queen Elizabeth II
speech-bona,data/in_the_wild/926.wav,3.507,4.5225,30,Barack Obama
speech-bona,data/in_the_wild/954.wav,2.822,3.5703,31,Bill Clinton
speech-bona,data/in_the_wild/966.wav,2.074,2.7673,32,Barack Obama
speech-bona,data/in_the_wild/975.wav,2.8693,3.3693,33,Barack Obama
speech-bona,data/in_the_wild/1016.wav,8.8366,9.3866,34,Bernie Sanders
speech-bona,data/in_the_wild/1044.wav,14.0277,19.0803,35,Tucker Carlson
speech-bona,data/in_the_wild/1044.wav,0.7393,5.5017,36,Tucker Carlson
speech-bona,data/in_the_wild/1056.wav,0.4975,2.8225,37,Bill Clinton
speech-bona,data/in_the_wild/1067.wav,3.6282,4.1282,38,Mark Zuckerberg
speech-bona,data/in_the_wild/1134.wav,2.5395,3.0395,39,Barack Obama
speech-bona,data/in_the_wild/1147.wav,0.0205,1.1913,40,Donald Trump
speech-bona,data/in_the_wild/1166.wav,0.2166,1.993,41,Donald Trump
speech-bona,data/in_the_wild/1189.wav,8.0007,12.3178,42,Barack Obama
speech-bona,data/in_the_wild/1200.wav,4.9526,5.5643,43,Bill Clinton
speech-bona,data/in_the_wild/1206.wav,0.7802,1.9947,44,Bob Ross
speech-bona,data/in_the_wild/1262.wav,1.8818,2.6715,45,Bill Clinton
speech-bona,data/in_the_wild/1278.wav,0.1787,2.3537,46,Donald Trump
speech-bona,data/in_the_wild/1284.wav,0.039,2.6537,47,Norm MacDonald
speech-bona,data/in_the_wild/1349.wav,2.9178,4.6694,48,Barack Obama
speech-bona,data/in_the_wild/1357.wav,3.0454,4.6356,49,Bill Clinton
speech-bona,data/in_the_wild/1377.wav,1.7634,2.2634,50,Donald Trump
speech-bona,data/in_the_wild/1468.wav,5.8195,6.6389,51,Barack Obama
speech-bona,data/in_the_wild/1504.wav,1.5898,5.0951,52,Adam Driver
speech-bona,data/in_the_wild/1579.wav,1.5257,2.0257,53,JFK
speech-bona,data/in_the_wild/1615.wav,0.1407,0.9407,54,Bill Clinton
speech-bona,data/in_the_wild/1628.wav,1.9495,2.6429,55,Arnold Schwarzenegger
speech-bona,data/in_the_wild/1660.wav,1.5809,2.0809,56,Barack Obama
speech-bona,data/in_the_wild/1673.wav,2.9794,3.7019,57,Bill Clinton
speech-bona,data/in_the_wild/1734.wav,7.8318,9.6699,58,Bill Burr
speech-bona,data/in_the_wild/1734.wav,6.8885,8.1553,59,Bill Burr
speech-bona,data/in_the_wild/1806.wav,4.1488,5.518,60,Bernie Sanders
speech-bona,data/in_the_wild/1934.wav,1.8355,2.3355,61,Bernie Sanders
speech-bona,data/in_the_wild/1939.wav,2.08,2.58,62,Barack Obama
speech-bona,data/in_the_wild/1959.wav,1.8548,2.5663,63,Malcolm X
speech-bona,data/in_the_wild/1976.wav,2.2,2.7,64,Barack Obama
speech-bona,data/in_the_wild/2230.wav,5.2727,7.116,65,Barack Obama
speech-bona,data/in_the_wild/2293.wav,3.1299,4.3684,66,2Pac
speech-bona,data/in_the_wild/2317.wav,0.0145,1.4882,67,Barack Obama
speech-bona,data/in_the_wild/2377.wav,9.8,12.0421,68,Donald Trump
speech-bona,data/in_the_wild/2387.wav,5.0081,5.5081,69,Alexandria Ocasio-Cortez
speech-bona,data/in_the_wild/2501.wav,3.5992,5.6906,70,Donald Trump
speech-bona,data/in_the_wild/2553.wav,3.0218,4.7501,71,Arnold Schwarzenegger
speech-bona,data/in_the_wild/2581.wav,0.0951,1.3806,72,Barack Obama
speech-bona,data/in_the_wild/2619.wav,0.3608,1.4079,73,Bernie Sanders
speech-bona,data/in_the_wild/2643.wav,0.7214,1.2214,74,Boris Johnson
speech-bona,data/in_the_wild/2663.wav,0.8982,2.348,75,Donald Trump
speech-bona,data/in_the_wild/2710.wav,2.2383,3.3726,76,Bill Clinton
speech-bona,data/in_the_wild/2722.wav,2.2517,3.1132,77,Bill Clinton
speech-bona,data/in_the_wild/2773.wav,1.6512,2.1512,78,Bernie Sanders
speech-bona,data/in_the_wild/2773.wav,2.723,3.6822,79,Bernie Sanders
speech-bona,data/in_the_wild/2789.wav,0.053,1.1079,80,Barack Obama
speech-bona,data/in_the_wild/2822.wav,3.7519,4.5678,81,Barack Obama
speech-bona,data/in_the_wild/2906.wav,1.225,3.2689,82,Jimmy Carter
speech-bona,data/in_the_wild/3014.wav,2.1812,2.6812,83,Christopher Hitchens
speech-bona,data/in_the_wild/3026.wav,1.7352,2.2352,84,Donald Trump
speech-bona,data/in_the_wild/3065.wav,4.3493,4.916,85,Donald Trump
speech-bona,data/in_the_wild/3083.wav,6.8972,9.0817,86,Barack Obama
speech-bona,data/in_the_wild/3146.wav,0.7996,6.3981,87,Alan Watts
speech-bona,data/in_the_wild/3221.wav,2.892,4.4886,88,FDR
speech-bona,data/in_the_wild/3301.wav,0.1093,1.6874,89,FDR
speech-bona,data/in_the_wild/3301.wav,0.4148,3.1341,90,FDR
speech-bona,data/in_the_wild/3301.wav,1.6553,3.452,91,FDR
speech-bona,data/in_the_wild/3301.wav,0.7126,2.8006,92,FDR
speech-bona,data/in_the_wild/3305.wav,8.7005,10.9431,93,Donald Trump
speech-bona,data/in_the_wild/3323.wav,6.4772,9.6942,94,Mark Zuckerberg
speech-bona,data/in_the_wild/3460.wav,0.349,2.8997,95,Bill Clinton
speech-bona,data/in_the_wild/3463.wav,1.5144,2.0144,96,Bill Clinton
speech-bona,data/in_the_wild/3479.wav,2.5387,3.0387,97,Barack Obama
speech-bona,data/in_the_wild/3527.wav,4.87,8.1356,98,Mark Zuckerberg
speech-bona,data/in_the_wild/3527.wav,5.2716,7.1595,99,Mark Zuckerberg
speech-bona,data/in_the_wild/3570.wav,2.545,3.7167,100,Barack Obama
speech-bona,data/in_the_wild/3583.wav,5.4996,5.9996,101,Barack Obama
speech-bona,data/in_the_wild/3687.wav,0.7906,1.5706,102,Bill Clinton
speech-bona,data/in_the_wild/3691.wav,6.2311,7.6731,103,Alexandria Ocasio-Cortez
speech-bona,data/in_the_wild/3696.wav,2.8191,3.6286,104,Adam Driver
speech-bona,data/in_the_wild/3715.wav,3.2885,4.0297,105,Donald Trump
speech-bona,data/in_the_wild/3717.wav,2.6402,3.1402,106,Gilbert Gottfried
speech-bona,data/in_the_wild/3758.wav,2.8177,3.889,107,Barack Obama
speech-bona,data/in_the_wild/3806.wav,2.1442,3.1191,108,Barack Obama
speech-bona,data/in_the_wild/3808.wav,4.0799,5.3105,109,Donald Trump
speech-bona,data/in_the_wild/3821.wav,0.0935,1.205,110,Bill Clinton
speech-bona,data/in_the_wild/3863.wav,4.6725,5.2534,111,Mark Zuckerberg
speech-bona,data/in_the_wild/3864.wav,16.2189,18.5216,112,Bill Burr
speech-bona,data/in_the_wild/3896.wav,1.4571,2.2502,113,Barack Obama
speech-bona,data/in_the_wild/3933.wav,12.8872,13.5885,114,Bernie Sanders
speech-bona,data/in_the_wild/3950.wav,4.4568,5.1407,115,Mark Zuckerberg
speech-bona,data/in_the_wild/3952.wav,6.4301,8.9143,116,Barack Obama
speech-bona,data/in_the_wild/3975.wav,0.0,1.5787,117,2Pac
speech-bona,data/in_the_wild/4008.wav,0.1616,0.6616,118,Barack Obama
speech-bona,data/in_the_wild/4024.wav,1.5443,4.8123,119,Alec Guinness
speech-bona,data/in_the_wild/4043.wav,4.2928,4.7928,120,Barack Obama
speech-bona,data/in_the_wild/4060.wav,0.1509,1.4264,121,Bill Clinton
speech-bona,data/in_the_wild/4180.wav,2.6268,3.1268,122,Ayn Rand
speech-bona,data/in_the_wild/4268.wav,0.9458,1.9304,123,Barack Obama
speech-bona,data/in_the_wild/4321.wav,3.8208,4.544,124,Christopher Hitchens
speech-bona,data/in_the_wild/4338.wav,1.4633,2.555,125,Barack Obama
speech-bona,data/in_the_wild/4358.wav,0.8383,1.3383,126,Bernie Sanders
speech-bona,data/in_the_wild/4398.wav,2.0685,2.8126,127,Donald Trump
speech-bona,data/in_the_wild/4479.wav,2.6861,3.3493,128,Barack Obama
speech-bona,data/in_the_wild/4490.wav,10.5215,12.967,129,Alec Guinness
speech-bona,data/in_the_wild/4521.wav,0.0355,1.6629,130,Mark Zuckerberg
speech-bona,data/in_the_wild/4545.wav,1.2821,2.4911,131,Barack Obama
speech-bona,data/in_the_wild/4618.wav,2.6174,3.1174,132,Barack Obama
speech-bona,data/in_the_wild/4618.wav,1.4943,2.5051,133,Barack Obama
speech-bona,data/in_the_wild/4629.wav,9.674,12.7195,134,2Pac
speech-bona,data/in_the_wild/4629.wav,1.7041,2.9173,135,2Pac
speech-bona,data/in_the_wild/4668.wav,4.6728,5.8341,136,Malcolm X
speech-bona,data/in_the_wild/4774.wav,1.7821,2.2933,137,Barack Obama
speech-bona,data/in_the_wild/4788.wav,4.8506,7.0903,138,Alexandria Ocasio-Cortez
speech-bona,data/in_the_wild/4797.wav,0.7721,2.0006,139,Barack Obama
speech-bona,data/in_the_wild/4829.wav,3.0771,4.5342,140,Arnold Schwarzenegger
speech-bona,data/in_the_wild/4841.wav,3.3048,4.5014,141,Donald Trump
speech-bona,data/in_the_wild/4849.wav,1.7565,2.2565,142,Bill Clinton
speech-bona,data/in_the_wild/4881.wav,3.7571,4.2571,143,Barack Obama
speech-bona,data/in_the_wild/4899.wav,0.9812,2.0987,144,Bernie Sanders
speech-bona,data/in_the_wild/4907.wav,5.7157,6.2177,145,Barack Obama
speech-bona,data/in_the_wild/4914.wav,14.2588,16.8286,146,Arnold Schwarzenegger
speech-bona,data/in_the_wild/4953.wav,0.8662,2.0512,147,Donald Trump
speech-bona,data/in_the_wild/4955.wav,3.9368,5.4564,148,Barack Obama
speech-bona,data/in_the_wild/4970.wav,2.5584,3.9766,149,Mark Zuckerberg
speech-bona,data/in_the_wild/5045.wav,0.0213,1.1187,150,Donald Trump
speech-bona,data/in_the_wild/5084.wav,16.3447,16.8447,151,Donald Trump
speech-bona,data/in_the_wild/5106.wav,1.943,2.6501,152,Christopher Hitchens
speech-bona,data/in_the_wild/5140.wav,7.2343,11.0918,153,Donald Trump
speech-bona,data/in_the_wild/5157.wav,1.6633,2.2401,154,Donald Trump
speech-bona,data/in_the_wild/5183.wav,1.679,2.179,155,Bill Clinton
speech-bona,data/in_the_wild/5218.wav,1.9316,2.4316,156,Alexandria Ocasio-Cortez
speech-bona,data/in_the_wild/5218.wav,3.4288,4.1788,157,Alexandria Ocasio-Cortez
speech-bona,data/in_the_wild/5236.wav,0.8879,3.5449,158,Barack Obama
speech-bona,data/in_the_wild/5245.wav,2.0457,2.5513,159,Barack Obama
speech-bona,data/in_the_wild/5268.wav,18.0874,19.1059,160,Billie Eilish
speech-bona,data/in_the_wild/5319.wav,0.57,2.1688,161,Mark Zuckerberg
